City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,avarua,-21.2078,-159.775,25.03,83,75,6.69,CK,1683690039
1,ushuaia,-54.8,-68.3,1.81,69,0,2.06,AR,1683689906
2,hobart,-42.8794,147.3294,15.03,65,66,4.06,AU,1683689770
3,moose factory,51.2585,-80.6094,1.99,80,0,1.54,CA,1683690039
4,quatre cocos,-20.2078,57.7625,24.06,70,24,5.6,MU,1683690039
5,vanimo,-2.6741,141.3028,29.67,71,36,2.75,PG,1683690039
6,chake chake,-5.2459,39.7666,23.84,90,62,3.8,TZ,1683690039
7,narsaq,60.9167,-46.05,2.12,86,100,2.29,GL,1683690039
8,albany,42.6001,-73.9662,9.33,68,3,1.79,US,1683690040
9,caravelas,-17.7125,-39.2481,22.87,80,91,2.07,BR,1683690040
10,punta arenas,-53.15,-70.9167,-0.94,86,0,1.54,CL,1683689970
11,sangar,63.9242,127.4739,2.79,72,100,8.08,RU,1683690040
12,carutapera,-1.195,-46.02,24.61,92,94,1.98,BR,1683690040
13,jamestown,42.097,-79.2353,9.84,65,0,1.54,US,1683689847
14,ilulissat,69.2167,-51.1,-1.99,86,100,3.6,GL,1683690040
15,qaanaaq,77.484,-69.3632,-9.97,89,100,2.05,GL,1683690041
16,namatanai,-3.6667,152.4333,29.03,77,55,0.99,PG,1683690041
17,kompaniyivka,48.2511,32.208,6.37,81,51,3.04,UA,1683690041
18,airai,-8.9266,125.4092,22.05,70,73,1.97,TL,1683690041
19,bluff,-46.6,168.3333,8.22,93,47,16.38,NZ,1683690041
20,ojinaga,29.5667,-104.4167,30.53,19,0,1.54,MX,1683690042
21,lavrentiya,65.5833,-171.0,-2.31,79,5,1.38,RU,1683690042
22,bartica,6.4,-58.6167,25.18,92,99,0.91,GY,1683690042
23,vachi,42.072,47.2151,9.54,67,100,0.94,RU,1683690042
24,karlshamn,56.1706,14.8619,10.27,71,6,6.24,SE,1683690042
25,labe,11.3182,-12.2833,21.31,61,100,1.56,GN,1683690042
26,mataura,-46.1927,168.8643,8.04,94,54,2.53,NZ,1683690043
27,rikitea,-23.1203,-134.9692,23.66,59,100,6.83,PF,1683690043
28,lebu,-37.6167,-73.65,11.86,82,100,5.31,CL,1683690043
29,tiksi,71.6872,128.8694,-8.47,82,87,7.88,RU,1683690043
30,port alfred,-33.5906,26.891,16.52,76,1,3.49,ZA,1683690043
31,brewster,41.3973,-73.6171,11.56,72,1,1.45,US,1683690043
32,wattegama,6.7989,81.4808,27.7,72,94,0.77,LK,1683690045
33,kamenka,51.3223,42.7678,7.17,63,99,5.08,RU,1683690046
34,cayenne,4.9333,-52.3333,25.02,94,75,3.09,GF,1683690049
35,vaini,-21.2,-175.2,28.09,89,40,3.09,TO,1683690049
36,independencia,-5.3964,-40.3086,20.62,83,9,1.09,BR,1683690049
37,kapaa,22.0752,-159.319,26.18,72,75,7.72,US,1683690049
