City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yumen,40.2833,97.2,13.04,15,99,6.64,CN,1683172976
1,arraial do cabo,-22.9661,-42.0278,22.46,82,0,1.76,BR,1683172976
2,mataura,-46.1927,168.8643,17.55,76,57,0.75,NZ,1683172977
3,saint-marc,19.1082,-72.6938,27.44,72,100,0.43,HT,1683172977
4,hovd,48.0056,91.6419,1.59,35,76,2.73,MN,1683172977
5,mahebourg,-20.4081,57.7,24.16,94,75,1.03,MU,1683172978
6,cidreira,-30.1811,-50.2056,20.96,95,100,5.22,BR,1683172978
7,bredasdorp,-34.5322,20.0403,11.38,92,0,1.78,ZA,1683172978
8,severo-kurilsk,50.6789,156.125,2.25,80,100,4.09,RU,1683172979
9,hervey bay,-25.2986,152.8535,24.03,43,1,3.91,AU,1683172979
10,norman wells,65.282,-126.8329,5.02,65,75,4.12,CA,1683172979
11,chokurdakh,70.6333,147.9167,-0.88,88,100,7.41,RU,1683172979
12,nishihara,26.1842,127.7558,26.6,74,75,7.2,JP,1683172980
13,sao filipe,14.8961,-24.4956,24.5,68,48,2.83,CV,1683172980
14,carnarvon,-24.8667,113.6333,27.06,44,2,3.58,AU,1683172981
15,garden city,42.3256,-83.331,10.08,76,100,2.57,US,1683172937
16,sinnamary,5.3833,-52.95,25.56,79,97,4.88,GF,1683172982
17,new norfolk,-42.7826,147.0587,14.4,67,49,0.99,AU,1683172982
18,cairns,-16.9167,145.7667,30.59,68,75,8.23,AU,1683172874
19,hermanus,-34.4187,19.2345,13.78,85,0,0.65,ZA,1683172983
20,gizo,-8.103,156.8419,29.68,75,100,4.99,SB,1683172983
21,ushuaia,-54.8,-68.3,5.81,87,75,6.17,AR,1683172984
22,katsuura,35.1333,140.3,20.77,64,0,8.13,JP,1683172985
23,rikitea,-23.1203,-134.9692,25.75,71,57,6.82,PF,1683172985
24,siocon,7.7061,122.1353,29.75,73,83,2.06,PH,1683172986
25,launceston,-41.45,147.1667,17.56,52,19,3.09,AU,1683172773
26,saint-philippe,-21.3585,55.7679,22.84,82,70,4.43,RE,1683172987
27,luderitz,-26.6481,15.1594,13.36,71,12,5.23,NA,1683172987
28,kapaa,22.0752,-159.319,26.99,77,66,1.79,US,1683172987
29,north bend,43.4065,-124.2243,11.59,87,20,2.06,US,1683172988
30,talavera de la reina,39.9635,-4.8308,12.62,87,9,2.75,ES,1683172990
31,qaanaaq,77.484,-69.3632,-5.61,94,99,1.54,GL,1683172990
32,saskylakh,71.9167,114.0833,-15.79,83,64,7.99,RU,1683172991
33,olonets,60.9847,32.9698,2.84,90,100,2.18,RU,1683172992
34,hilo,19.7297,-155.09,25.85,85,100,3.6,US,1683172806
35,busselton,-33.65,115.3333,20.31,49,36,4.26,AU,1683172994
36,ilulissat,69.2167,-51.1,1.01,93,100,5.66,GL,1683172995
37,grindavik,63.8424,-22.4338,3.26,87,100,8.23,IS,1683172995
38,komsomolskiy,40.4272,71.7189,18.4,22,59,5.14,UZ,1683172995
39,makamba,-4.1348,29.804,16.24,93,97,1.16,BI,1683172996
40,chuy,-33.6971,-53.4616,14.61,81,5,2.27,UY,1683172996
41,albany,42.6001,-73.9662,7.73,90,100,2.22,US,1683172755
42,invermere,50.5167,-116.0354,13.37,88,100,1.73,CA,1683172998
43,mardin,37.3131,40.7436,11.59,38,0,4.63,TR,1683172998
44,bull savanna,17.8868,-77.5902,24.16,82,100,3.13,JM,1683172999
45,vaini,-21.2,-175.2,25.09,78,75,8.75,TO,1683172999
46,guanica,17.9716,-66.908,26.62,66,67,3.44,PR,1683173000
47,broome,42.2506,-75.833,6.05,94,100,4.12,US,1683173000
48,hobart,-42.8794,147.3294,14.59,63,20,3.09,AU,1683172809
49,yellowknife,62.456,-114.3525,14.29,47,75,3.09,CA,1683173002
50,kankaanpaa,61.8,22.4167,-0.58,69,13,3.06,FI,1683173003
51,punta arenas,-53.15,-70.9167,8.06,81,40,10.29,CL,1683172935
52,padang,-0.9492,100.3543,31.03,74,99,0.82,ID,1683173004
53,cuamba,-14.8031,36.5372,13.88,96,1,0.97,MZ,1683173004
54,thai binh,20.45,106.3333,30.12,72,29,8.14,VN,1683173005
55,touros,-5.1989,-35.4608,25.43,85,7,3.52,BR,1683173005
56,butaritari,3.0707,172.7902,28.29,76,48,3.86,KI,1683173006
57,flinders,-34.5833,150.8552,21.77,52,10,1.79,AU,1683173006
58,fortuna,40.5982,-124.1573,11.48,87,100,1.61,US,1683173007
59,provideniya,64.3833,-173.3,-3.94,74,100,6.0,RU,1683173008
60,port alfred,-33.5906,26.891,17.24,85,0,2.81,ZA,1683173008
61,jamestown,42.097,-79.2353,6.68,92,100,3.6,US,1683172801
62,madera,37.1666,-119.8343,15.05,72,100,1.94,US,1683173009
63,yagodnoye,62.55,149.6667,-1.24,83,99,0.53,RU,1683173009
64,kaitangata,-46.2817,169.8464,14.96,93,20,2.41,NZ,1683173009
65,samarai,-10.6167,150.6667,28.49,78,82,5.88,PG,1683173010
66,hamina,60.5697,27.1979,-0.4,77,66,5.83,FI,1683173011
67,barrow,71.2906,-156.7887,-5.99,79,100,1.54,US,1683173011
68,puerto ayora,-0.7393,-90.3518,26.97,92,16,2.26,EC,1683173011
69,mar del plata,-38.0023,-57.5575,11.08,80,0,2.06,AR,1683172813
70,moree,-29.4667,149.85,21.85,24,0,5.53,AU,1683173013
71,bluff,-46.6,168.3333,14.75,84,36,2.21,NZ,1683173013
72,lorengau,-2.0226,147.2712,28.49,77,90,1.66,PG,1683173013
73,pacific grove,36.6177,-121.9166,12.23,90,100,0.45,US,1683172923
74,anchorage,61.2181,-149.9003,3.14,93,100,3.6,US,1683172893
75,jalu,29.0331,21.5482,19.38,51,71,7.21,LY,1683173014
76,georgetown,5.4112,100.3354,31.96,70,20,3.6,MY,1683172782
77,zasheyek,67.4066,32.5499,-2.09,79,100,5.35,RU,1683173015
78,kodiak,57.79,-152.4072,2.93,98,100,9.08,US,1683173015
79,asau,46.4333,26.4,7.51,65,100,0.11,RO,1683173016
80,tigil,57.8,158.6667,1.95,89,98,2.58,RU,1683173016
81,chumikan,54.7183,135.315,0.46,93,100,2.29,RU,1683173016
82,vila franca do campo,37.7167,-25.4333,16.23,89,71,5.07,PT,1683173017
83,kaeo,-35.1,173.7833,19.62,96,100,5.99,NZ,1683173017
84,ribeira grande,38.5167,-28.7,17.1,93,78,5.81,PT,1683173017
85,east london,-33.0153,27.9116,16.52,94,0,2.06,ZA,1683172834
86,dikson,73.5069,80.5464,-14.44,79,58,2.91,RU,1683173018
87,montevideo,-34.8335,-56.1674,13.84,88,0,0.0,UY,1683172533
88,lebu,-37.6167,-73.65,10.44,86,5,7.37,CL,1683173019
89,barkhan,29.8977,69.5256,22.78,52,17,3.02,PK,1683172877
90,thompson,55.7435,-97.8558,5.09,75,20,1.54,CA,1683173019
91,hazorasp,41.3194,61.0742,15.91,11,88,4.84,UZ,1683172817
92,cherskiy,68.75,161.3,-7.15,78,90,2.36,RU,1683173020
93,tasiilaq,65.6145,-37.6368,0.09,70,100,2.01,GL,1683173020
94,hofn,64.2539,-15.2082,3.21,71,100,5.11,IS,1683173021
95,bambous virieux,-20.3428,57.7575,24.14,94,75,1.03,MU,1683173021
96,avarua,-21.2078,-159.775,26.03,83,75,8.23,CK,1683173021
97,boueni,-12.9025,45.0761,26.99,72,27,5.97,YT,1683173022
98,faya,18.3851,42.4509,16.06,58,100,1.01,SA,1683173022
99,challapata,-18.9,-66.7667,7.98,27,15,1.64,BO,1683173022
100,narsaq,60.9167,-46.05,1.12,71,48,1.22,GL,1683173022
101,ancud,-41.8697,-73.8203,8.95,92,79,0.89,CL,1683172964
102,carutapera,-1.195,-46.02,24.26,95,100,3.03,BR,1683173023
103,tarquinia,42.2482,11.7553,13.23,80,4,4.76,IT,1683173023
104,ohara,35.25,140.3833,20.71,63,0,8.36,JP,1683173023
105,olafsvik,64.8945,-23.7142,5.08,83,100,1.39,IS,1683173024
106,sioux lookout,50.1001,-91.917,6.04,70,75,2.57,CA,1683173024
107,severobaykalsk,55.65,109.3167,2.79,64,7,0.85,RU,1683173024
108,ordynskoye,54.3656,81.8994,11.95,39,52,3.77,RU,1683173025
109,san quintin,30.4833,-115.95,13.9,68,0,2.82,MX,1683173025
110,ekhabi,53.5102,142.9671,1.38,83,100,7.2,RU,1683173025
111,acapulco,16.8634,-99.8901,27.83,69,52,0.44,MX,1683172886
112,ca mau,9.1769,105.15,35.52,43,46,3.93,VN,1683173026
113,rafaela,-31.2503,-61.4867,13.88,54,99,0.89,AR,1683173026
114,banda aceh,5.5577,95.3222,29.83,68,99,1.19,ID,1683173027
115,bathsheba,13.2167,-59.5167,27.34,83,40,4.63,BB,1683173027
116,acajutla,13.5928,-89.8275,28.34,79,33,2.51,SV,1683173027
117,bengkulu,-3.8004,102.2655,29.66,67,99,2.02,ID,1683173027
118,mitsamiouli,-11.3847,43.2844,26.57,76,1,4.18,KM,1683173027
119,meulaboh,4.1363,96.1285,27.81,78,100,1.97,ID,1683173028
120,port elizabeth,-33.918,25.5701,16.29,99,0,2.06,ZA,1683173028
121,yar-sale,66.8333,70.8333,-0.1,100,100,3.5,RU,1683173028
122,aklavik,68.2191,-135.0107,0.12,98,100,0.6,CA,1683173029
123,chapais,49.7834,-74.8492,4.88,92,100,3.66,CA,1683173029
124,salta,-24.7859,-65.4117,11.33,74,100,1.54,AR,1683172762
125,kavieng,-2.5744,150.7967,28.96,72,52,3.37,PG,1683173029
126,kirakira,-10.4544,161.9205,30.31,70,97,5.7,SB,1683173030
127,krasnoselkup,65.7,82.4667,1.23,100,100,2.45,RU,1683173030
128,dunedin,-45.8742,170.5036,14.33,98,13,0.89,NZ,1683173030
129,hasaki,35.7333,140.8333,27.94,64,0,9.87,JP,1683173031
130,airai,-8.9266,125.4092,21.31,72,79,1.55,TL,1683173031
131,saldanha,-33.0117,17.9442,10.03,89,21,5.58,ZA,1683173031
132,sanford,28.8006,-81.2731,21.73,61,7,0.45,US,1683172804
133,cejkovice,48.9059,16.9423,6.36,83,0,2.92,CZ,1683173032
134,jumla,29.2747,82.1838,10.13,92,100,1.62,NP,1683173032
135,changde,29.0464,111.6783,22.18,79,89,4.01,CN,1683172822
136,arlit,18.7369,7.3853,28.04,21,0,2.25,NE,1683173033
137,ostrovnoy,68.0531,39.5131,-0.7,97,100,14.15,RU,1683173033
138,berbera,10.4396,45.0143,30.54,68,100,0.46,SO,1683173033
139,khatanga,71.9667,102.5,-14.33,68,27,2.64,RU,1683173034
140,kruisfontein,-34.0033,24.7314,13.07,82,0,2.93,ZA,1683173034
141,itaguacu,-19.8019,-40.8556,19.28,94,3,0.88,BR,1683173034
142,lompoc,34.6391,-120.4579,11.55,88,100,0.89,US,1683172900
143,tual,-5.6667,132.75,28.49,80,31,5.83,ID,1683173035
144,mbarara,-0.608,30.65,16.18,95,100,1.15,UG,1683173035
145,mattru,7.6244,-11.8332,23.29,97,100,1.06,SL,1683173036
146,darhan,49.4867,105.9228,3.99,70,100,4.66,MN,1683173036
147,madimba,-10.4,40.3333,22.62,88,20,7.72,TZ,1683173036
148,college,64.8569,-147.8028,6.15,58,75,5.14,US,1683172835
149,moerai,-22.4333,-151.3333,24.77,87,70,11.15,PF,1683173036
150,aljezur,37.3191,-8.8033,15.26,95,84,1.64,PT,1683173037
151,cape town,-33.9258,18.4232,15.51,80,20,2.57,ZA,1683172725
152,hithadhoo,-0.6,73.0833,27.48,83,100,11.14,MV,1683173037
153,tiksi,71.6872,128.8694,-0.55,88,61,11.66,RU,1683173038
154,idanre,7.1127,5.1159,21.81,98,71,0.51,NG,1683173039
155,saint-georges,12.0564,-61.7485,27.82,78,40,6.17,GD,1683172806
156,vilyuysk,63.7553,121.6247,3.05,82,96,4.82,RU,1683173039
157,bethel,41.3712,-73.414,9.97,84,100,1.54,US,1683173040
158,upernavik,72.7868,-56.1549,-0.66,97,100,10.49,GL,1683173040
159,atuona,-9.8,-139.0333,27.82,77,1,8.5,PF,1683172823
160,jackson,42.4165,-122.8345,17.93,42,40,3.09,US,1683173040
161,cabedelo,-6.9811,-34.8339,25.37,84,29,3.27,BR,1683173041
162,buala,-8.145,159.5921,30.32,68,100,3.14,SB,1683173041
163,longyearbyen,78.2186,15.6401,-4.09,86,75,1.54,SJ,1683173041
164,namibe,-15.1961,12.1522,23.45,77,1,1.74,AO,1683173042
165,moldava nad bodvou,48.6143,20.9996,11.08,66,0,8.23,SK,1683173042
166,cap malheureux,-19.9842,57.6142,24.15,83,2,2.24,MU,1683173042
167,miranda de ebro,42.6865,-2.947,13.32,78,73,1.73,ES,1683173043
168,torbay,47.6666,-52.7314,3.65,98,100,5.14,CA,1683173045
169,kiama,-34.6833,150.8667,20.7,56,16,2.78,AU,1683172849
170,warrnambool,-38.3833,142.4833,15.74,52,93,3.22,AU,1683173045
171,lerwick,60.1545,-1.1494,7.0,78,100,8.15,GB,1683173046
172,ormara,25.2088,64.6357,27.23,67,0,2.45,PK,1683173046
173,nanortalik,60.1432,-45.2371,0.07,83,33,0.75,GL,1683173047
174,tucurui,-3.7661,-49.6725,22.97,99,96,1.47,BR,1683173047
175,tiznit,29.5833,-9.5,17.6,43,82,0.58,MA,1683173047
176,kang,-23.6752,22.7876,18.78,62,73,3.14,BW,1683173048
177,cabo san lucas,22.8909,-109.9124,23.12,71,100,6.07,MX,1683172764
178,duku,11.2361,4.9073,29.03,48,38,2.91,NG,1683173048
179,carbondale,37.7273,-89.2168,9.0,86,0,0.0,US,1683173049
180,sika,13.3546,-16.345,24.08,78,98,2.9,GM,1683173050
181,peniche,39.3558,-9.3811,15.25,95,13,4.27,PT,1683173050
182,karakol,42.4907,78.3936,4.84,34,0,4.23,KG,1683173050
183,shakawe,-18.3667,21.85,16.57,52,58,2.56,BW,1683173051
184,abu samrah,35.3029,37.1841,17.73,25,0,2.78,SY,1683173051
185,kendal,54.3268,-2.7476,7.28,82,100,3.12,GB,1683173052
186,port said,31.2565,32.2841,18.99,82,0,3.09,EG,1683173052
187,mehamn,71.0357,27.8492,-2.03,69,75,8.75,NO,1683173053
188,saint-augustin,51.226,-58.6502,4.76,87,100,6.34,CA,1683173053
189,ferrol,43.4832,-8.2369,15.38,81,3,6.6,ES,1683173053
190,barcelona,41.3888,2.159,18.18,81,20,2.57,ES,1683172397
191,caete,-19.88,-43.6697,19.57,94,0,1.17,BR,1683173054
192,dharchula,29.85,80.5333,17.45,77,100,0.17,IN,1683173056
193,srednekolymsk,67.45,153.6833,-1.68,78,99,3.18,RU,1683173057
194,hede,33.7681,120.2517,26.61,76,100,4.77,CN,1683173057
195,yangshan,28.7615,115.0287,25.61,76,96,3.45,CN,1683173058
196,zeya,53.75,127.2667,10.74,43,96,6.01,RU,1683173058
197,manzanillo,20.3433,-77.1167,24.32,86,87,2.17,CU,1683172777
198,changji,44.0167,87.3167,6.44,45,100,4.0,CN,1683173059
199,saint george,37.1041,-113.5841,19.97,52,75,2.06,US,1683172907
200,cayenne,4.9333,-52.3333,26.02,83,75,1.54,GF,1683172789
201,sao joao da barra,-21.6403,-41.0511,21.65,88,2,1.48,BR,1683173060
202,prince rupert,54.3161,-130.3201,8.05,81,100,7.72,CA,1683173061
203,conde,-7.2597,-34.9075,24.7,94,40,0.0,BR,1683173061
204,coihaique,-45.5752,-72.0662,11.34,76,75,1.54,CL,1683173062
205,puksoozero,62.5903,40.6066,0.81,68,34,4.59,RU,1683173062
206,berlevag,70.8578,29.0864,-2.0,74,100,8.23,NO,1683173062
207,clyde river,70.4692,-68.5914,-10.87,85,75,6.17,CA,1683173063
